country,attained_grade,age_group,adminregion,year,adminregionname,category,literacy_rate
Burundi,2,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.41216591000556946
Afghanistan,2,15to19,SAS,2015,South Asia (excluding high income),All,0.667214035987854
Afghanistan,2,20to29,SAS,2015,South Asia (excluding high income),All,0.4587494432926178
Afghanistan,2,30to39,SAS,2015,South Asia (excluding high income),All,0.2909291684627533
Afghanistan,2,40to49,SAS,2015,South Asia (excluding high income),All,0.24894459545612335
Armenia,2,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973503351211548
Armenia,2,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9982350468635559
Armenia,2,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9976373314857483
Armenia,2,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9978001713752747
Angola,2,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.9035277366638184
Angola,2,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.8407920002937317
Angola,2,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7571094632148743
Angola,2,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7584273815155029
Burkina Faso,2,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.4651584029197693
Burkina Faso,2,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.34841203689575195
Burkina Faso,2,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.24584878981113434
Burkina Faso,2,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.15655992925167084
Azerbaijan,2,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9854987859725952
Azerbaijan,2,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9909853935241699
Azerbaijan,2,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.9908901453018188
Azerbaijan,2,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.9901571869850159
Bulgaria,2,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.9490131735801697
Bulgaria,2,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.9736738801002502
Bulgaria,2,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.9846330285072327
Bulgaria,2,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9778249859809875
Bangladesh,3,15to19,SAS,2019,South Asia (excluding high income),All,0.9331528544425964
Bangladesh,3,20to29,SAS,2019,South Asia (excluding high income),All,0.8836127519607544
Bangladesh,3,30to39,SAS,2019,South Asia (excluding high income),All,0.7471030354499817
Bangladesh,3,40to49,SAS,2019,South Asia (excluding high income),All,0.5413321256637573
Benin,3,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.7197627425193787
Benin,3,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.5436501502990723
Benin,3,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.3682202696800232
Benin,3,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.31702107191085815
Albania,3,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9817426800727844
Albania,3,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9777917861938477
Albania,3,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.9692471623420715
Albania,3,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9843347668647766
Burundi,3,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.8720090389251709
Burundi,3,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.6846876740455627
Burundi,3,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.5562424659729004
Burundi,3,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.3921126425266266
Afghanistan,3,15to19,SAS,2015,South Asia (excluding high income),All,0.6518120765686035
Afghanistan,3,20to29,SAS,2015,South Asia (excluding high income),All,0.4469253420829773
Afghanistan,3,30to39,SAS,2015,South Asia (excluding high income),All,0.27910006046295166
Afghanistan,3,40to49,SAS,2015,South Asia (excluding high income),All,0.23700310289859772
Armenia,3,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973503351211548
Armenia,3,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9970073699951172
Armenia,3,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9971835017204285
Armenia,3,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9978001713752747
Angola,3,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.8716903328895569
Angola,3,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.8107940554618835
Angola,3,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7135694622993469
Angola,3,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7080246806144714
Burkina Faso,3,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.4427281320095062
Burkina Faso,3,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.32744669914245605
Burkina Faso,3,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.22874756157398224
Burkina Faso,3,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.14384080469608307
Azerbaijan,3,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9816293120384216
Azerbaijan,3,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9876033067703247
Azerbaijan,3,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.9893051385879517
Azerbaijan,3,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.9893828630447388
Bulgaria,3,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.9074835777282715
Bulgaria,3,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.9601178765296936
Bulgaria,3,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.982798159122467
Bulgaria,3,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9705119132995605
Bangladesh,4,15to19,SAS,2019,South Asia (excluding high income),All,0.9070092439651489
Bangladesh,4,20to29,SAS,2019,South Asia (excluding high income),All,0.8542221188545227
Bangladesh,4,30to39,SAS,2019,South Asia (excluding high income),All,0.7062642574310303
Bangladesh,4,40to49,SAS,2019,South Asia (excluding high income),All,0.5017716884613037
Benin,4,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.6735585331916809
Benin,4,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.5070452094078064
Benin,4,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.33377203345298767
Benin,4,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.27508243918418884
Albania,4,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9782637357711792
Albania,4,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9767338633537292
Albania,4,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.9664608240127563
Albania,4,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9822060465812683
Burundi,4,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.804120659828186
Burundi,4,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.6265637278556824
Burundi,4,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.4924125075340271
Burundi,4,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.3625228703022003
Afghanistan,4,15to19,SAS,2015,South Asia (excluding high income),All,0.6250044107437134
Afghanistan,4,20to29,SAS,2015,South Asia (excluding high income),All,0.42482683062553406
Afghanistan,4,30to39,SAS,2015,South Asia (excluding high income),All,0.2584537863731384
Afghanistan,4,40to49,SAS,2015,South Asia (excluding high income),All,0.21110908687114716
Armenia,4,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973503351211548
Armenia,4,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9963244199752808
Armenia,4,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9965459108352661
Armenia,4,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973037242889404
Angola,4,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.815093457698822
Angola,4,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7659165263175964
Angola,4,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.6528008580207825
Angola,4,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.6284027695655823
Burkina Faso,4,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.4109915792942047
Burkina Faso,4,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.29965969920158386
Burkina Faso,4,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.2089707851409912
Burkina Faso,4,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.13030141592025757
Azerbaijan,4,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9774414896965027
Azerbaijan,4,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9845268726348877
Azerbaijan,4,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.9875184893608093
Azerbaijan,4,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.9870020151138306
Bulgaria,4,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.8951480388641357
Bulgaria,4,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.9559921622276306
Bulgaria,4,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.9720183610916138
Bulgaria,4,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9613116383552551
Bangladesh,5,15to19,SAS,2019,South Asia (excluding high income),All,0.8602632284164429
Bangladesh,5,20to29,SAS,2019,South Asia (excluding high income),All,0.7931434512138367
Bangladesh,5,30to39,SAS,2019,South Asia (excluding high income),All,0.6356058120727539
Bangladesh,5,40to49,SAS,2019,South Asia (excluding high income),All,0.440303772687912
Benin,5,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.611289381980896
Benin,5,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.46491894125938416
Benin,5,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.2956317663192749
Benin,5,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.23767705261707306
Albania,5,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9722945094108582
Albania,5,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9672938585281372
Albania,5,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.9409392476081848
Albania,5,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9645412564277649
Burundi,5,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.703050434589386
Burundi,5,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.5585013628005981
Burundi,5,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.41935989260673523
Burundi,5,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.32390835881233215
Afghanistan,5,15to19,SAS,2015,South Asia (excluding high income),All,0.58745938539505
Afghanistan,5,20to29,SAS,2015,South Asia (excluding high income),All,0.400290310382843
Afghanistan,5,30to39,SAS,2015,South Asia (excluding high income),All,0.23217467963695526
Afghanistan,5,40to49,SAS,2015,South Asia (excluding high income),All,0.18561595678329468
Armenia,5,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973503351211548
Armenia,5,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9954714775085449
Armenia,5,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9960062503814697
Armenia,5,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973037242889404
Angola,5,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7411355376243591
Angola,5,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.7045329809188843
Angola,5,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.5723603367805481
Angola,5,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.5184610486030579
Burkina Faso,5,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.3798294961452484
Burkina Faso,5,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.2759038805961609
Burkina Faso,5,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.19212178885936737
Burkina Faso,5,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.11930497735738754
Azerbaijan,5,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9660797119140625
Azerbaijan,5,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9785779714584351
Azerbaijan,5,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.984695553779602
Azerbaijan,5,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.9832973480224609
Bulgaria,5,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.8655427694320679
Bulgaria,5,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.9292730689048767
Bulgaria,5,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.9511467814445496
Bulgaria,5,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9443265199661255
Bangladesh,6,15to19,SAS,2019,South Asia (excluding high income),All,0.7768425941467285
Bangladesh,6,20to29,SAS,2019,South Asia (excluding high income),All,0.6721786260604858
Bangladesh,6,30to39,SAS,2019,South Asia (excluding high income),All,0.49254220724105835
Bangladesh,6,40to49,SAS,2019,South Asia (excluding high income),All,0.3348715007305145
Benin,6,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.5247577428817749
Benin,6,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.4011499583721161
Benin,6,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.2273322492837906
Benin,6,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.16603481769561768
Albania,6,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9686765670776367
Albania,6,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9637089371681213
Albania,6,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.938090443611145
Albania,6,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9636247158050537
Burundi,6,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.5488886833190918
Burundi,6,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.47801485657691956
Burundi,6,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.3218919634819031
Burundi,6,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.265432208776474
Afghanistan,6,15to19,SAS,2015,South Asia (excluding high income),All,0.541602611541748
Afghanistan,6,20to29,SAS,2015,South Asia (excluding high income),All,0.3751688301563263
Afghanistan,6,30to39,SAS,2015,South Asia (excluding high income),All,0.2125728875398636
Afghanistan,6,40to49,SAS,2015,South Asia (excluding high income),All,0.16595615446567535
Armenia,6,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9949694871902466
Armenia,6,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9938791990280151
Armenia,6,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9953382015228271
Armenia,6,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9973037242889404
Angola,6,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.6449048519134521
Angola,6,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.6430546045303345
Angola,6,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.5050981044769287
Angola,6,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.44737499952316284
Burkina Faso,6,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.30320051312446594
Burkina Faso,6,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.22383946180343628
Burkina Faso,6,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.14809291064739227
Burkina Faso,6,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.09297792613506317
Azerbaijan,6,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9586368203163147
Azerbaijan,6,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9692817330360413
Azerbaijan,6,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.9823817014694214
Azerbaijan,6,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.980912983417511
Bulgaria,6,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.8503289222717285
Bulgaria,6,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.9060903787612915
Bulgaria,6,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.9424312114715576
Bulgaria,6,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9278131723403931
Bangladesh,7,15to19,SAS,2019,South Asia (excluding high income),All,0.724161684513092
Bangladesh,7,20to29,SAS,2019,South Asia (excluding high income),All,0.6231815218925476
Bangladesh,7,30to39,SAS,2019,South Asia (excluding high income),All,0.44819962978363037
Bangladesh,7,40to49,SAS,2019,South Asia (excluding high income),All,0.3093551695346832
Benin,7,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.4377836585044861
Benin,7,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.3545750677585602
Benin,7,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.19676218926906586
Benin,7,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.1314428597688675
Albania,7,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9677593111991882
Albania,7,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9613521695137024
Albania,7,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.9323439002037048
Albania,7,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9612700939178467
Burundi,7,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.3723783493041992
Burundi,7,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.3393440842628479
Burundi,7,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.13543139398097992
Burundi,7,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.09286879748106003
Afghanistan,7,15to19,SAS,2015,South Asia (excluding high income),All,0.46393072605133057
Afghanistan,7,20to29,SAS,2015,South Asia (excluding high income),All,0.3364489674568176
Afghanistan,7,30to39,SAS,2015,South Asia (excluding high income),All,0.17957057058811188
Afghanistan,7,40to49,SAS,2015,South Asia (excluding high income),All,0.1384199559688568
Armenia,7,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9939948916435242
Armenia,7,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9933872222900391
Armenia,7,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.9945980310440063
Armenia,7,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9964052438735962
Angola,7,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.5065881609916687
Angola,7,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.5714702010154724
Angola,7,30to39,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.442312091588974
Angola,7,40to49,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.37694957852363586
Burkina Faso,7,15to19,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.22343674302101135
Burkina Faso,7,20to29,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.17633534967899323
Burkina Faso,7,30to39,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.11308955401182175
Burkina Faso,7,40to49,SSA,2010,Sub-Saharan Africa (excluding high income),All,0.06984802335500717
Azerbaijan,7,15to19,ECA,2006,Europe and Central Asia (excluding high income),All,0.9528921246528625
Azerbaijan,7,20to29,ECA,2006,Europe and Central Asia (excluding high income),All,0.9604054689407349
Azerbaijan,7,30to39,ECA,2006,Europe and Central Asia (excluding high income),All,0.9803029298782349
Azerbaijan,7,40to49,ECA,2006,Europe and Central Asia (excluding high income),All,0.979343593120575
Bulgaria,7,15to19,ECA,2001,Europe and Central Asia (excluding high income),All,0.8108552694320679
Bulgaria,7,20to29,ECA,2001,Europe and Central Asia (excluding high income),All,0.8815324306488037
Bulgaria,7,30to39,ECA,2001,Europe and Central Asia (excluding high income),All,0.9330275058746338
Bulgaria,7,40to49,ECA,2001,Europe and Central Asia (excluding high income),All,0.9155461192131042
Bangladesh,8,15to19,SAS,2019,South Asia (excluding high income),All,0.6177623867988586
Bangladesh,8,20to29,SAS,2019,South Asia (excluding high income),All,0.5479375123977661
Bangladesh,8,30to39,SAS,2019,South Asia (excluding high income),All,0.38435882329940796
Bangladesh,8,40to49,SAS,2019,South Asia (excluding high income),All,0.2733086049556732
Benin,8,15to19,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.3565768003463745
Benin,8,20to29,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.3195666968822479
Benin,8,30to39,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.17957496643066406
Benin,8,40to49,SSA,2017,Sub-Saharan Africa (excluding high income),All,0.11228136718273163
Albania,8,15to19,ECA,2017,Europe and Central Asia (excluding high income),All,0.9651483297348022
Albania,8,20to29,ECA,2017,Europe and Central Asia (excluding high income),All,0.9581552743911743
Albania,8,30to39,ECA,2017,Europe and Central Asia (excluding high income),All,0.9265064597129822
Albania,8,40to49,ECA,2017,Europe and Central Asia (excluding high income),All,0.9577281475067139
Burundi,8,15to19,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.23416335880756378
Burundi,8,20to29,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.3048567771911621
Burundi,8,30to39,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.1209588497877121
Burundi,8,40to49,SSA,2016,Sub-Saharan Africa (excluding high income),All,0.08441529422998428
Afghanistan,8,15to19,SAS,2015,South Asia (excluding high income),All,0.3841252028942108
Afghanistan,8,20to29,SAS,2015,South Asia (excluding high income),All,0.3107270300388336
Afghanistan,8,30to39,SAS,2015,South Asia (excluding high income),All,0.16269509494304657
Afghanistan,8,40to49,SAS,2015,South Asia (excluding high income),All,0.12673574686050415
Armenia,8,15to19,ECA,2015,Europe and Central Asia (excluding high income),All,0.9883283376693726
Armenia,8,20to29,ECA,2015,Europe and Central Asia (excluding high income),All,0.9930559396743774
Armenia,8,30to39,ECA,2015,Europe and Central Asia (excluding high income),All,0.99118572473526
Armenia,8,40to49,ECA,2015,Europe and Central Asia (excluding high income),All,0.9959789514541626
Angola,8,15to19,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.3679408133029938
Angola,8,20to29,SSA,2015,Sub-Saharan Africa (excluding high income),All,0.49672889709472656
